SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION,RUN
afiController.sol,,426,DynaMOSA,true,false,0.48695652173913045,0,10,0,42,102,0.4117647058823529,22,34,0.6470588235294118,29,56,0.5178571428571429,17.51099991798401,1783.0030000209808,1800.5139999389648,99,1098,1,80
YieldFarmLP2.sol,,668,DynaMOSA,true,false,0.2765957446808511,1,20,0.05,19,54,0.35185185185185186,12,14,0.8571428571428571,0,8,0,30.075999975204468,1770.5,1800.5759999752045,60,661,1,80
XenoFelix.sol,,563,DynaMOSA,true,false,0.6951219512195121,5,18,0.2777777777777778,99,151,0.6556291390728477,51,63,0.8095238095238095,27,60,0.45,26.50600004196167,1775.0099999904633,1801.516000032425,51,568,1,80
WheatFarm.sol,,163,DynaMOSA,true,false,0.23853211009174313,8,26,0.3076923076923077,28,105,0.26666666666666666,8,37,0.21621621621621623,7,40,0.175,26.942000150680542,1774.585000038147,1801.5270001888275,65,725,1,80
Wallet.sol,,807,DynaMOSA,true,false,0.8333333333333334,0,0,0,5,6,0.8333333333333334,2,2,1,3,4,0.75,3.2829999923706055,1796.8670001029968,1800.1500000953674,390,4291,1,80
Voting.sol,,984,DynaMOSA,true,false,0.12295081967213115,0,30,0,25,250,0.1,24,111,0.21621621621621623,4,94,0.0425531914893617,77.63199996948242,1722.9880001544952,1800.6200001239777,21,237,1,80
UNIWHALE_ERC20.sol,,350,DynaMOSA,true,false,0.5,0,6,0,17,41,0.4146341463414634,7,8,0.875,2,8,0.25,10.888000011444092,1789.343999862671,1800.231999874115,204,2254,1,80
TokenDispatch.sol,,136,DynaMOSA,true,false,0.22727272727272727,0,22,0,20,100,0.2,7,10,0.7,6,34,0.17647058823529413,12.384999990463257,1788.781000137329,1801.1660001277924,172,1894,1,80
TimeMiner.sol,,930,DynaMOSA,true,false,0.9302325581395349,4,6,0.6666666666666666,76,90,0.8444444444444444,19,19,1,15,18,0.8333333333333334,17.437999963760376,1783.0970001220703,1800.5350000858307,147,1622,1,80
TetherToken.sol,,928,DynaMOSA,true,false,0.8679245283018868,6,12,0.5,41,51,0.803921568627451,11,11,1,18,30,0.6,17.80299997329712,1782.4359998703003,1800.2389998435974,118,1302,1,80
Straight_Fire_Finance.sol,,715,DynaMOSA,true,false,0.6111111111111112,2,4,0.5,12,22,0.5454545454545454,7,8,0.875,0,0,0,14.17199993133545,1786.2190001010895,1800.391000032425,188,2077,1,80
SpiritCoin.sol,,852,DynaMOSA,true,false,0.676923076923077,3,8,0.375,53,76,0.6973684210526315,16,23,0.6956521739130435,15,34,0.4411764705882353,10.89300012588501,1789.5079998970032,1800.4010000228882,121,1335,1,80
SLTDStaking.sol,,742,DynaMOSA,true,false,0.5045871559633027,4,12,0.3333333333333333,47,100,0.47,29,47,0.6170212765957447,11,34,0.3235294117647059,22.099000215530396,1778.3740000724792,1800.4730002880096,79,876,1,80
SALESCONTRACT.sol,,399,DynaMOSA,true,false,0.275,0,8,0,14,57,0.24561403508771928,8,8,1,2,24,0.08333333333333333,11.64900016784668,1788.6639997959137,1800.3129999637604,189,2079,1,80
Rexona.sol,,226,DynaMOSA,true,false,0.6666666666666666,9,22,0.4090909090909091,26,39,0.6666666666666666,8,8,1,7,12,0.5833333333333334,17.966000080108643,1782.393000125885,1800.3590002059937,131,1448,1,80
Reentrance.sol,,971,DynaMOSA,true,false,0.3076923076923077,1,4,0.25,6,24,0.25,4,12,0.3333333333333333,1,10,0.1,9.216000080108643,1791.130000114441,1800.3460001945496,152,1677,1,80
RIT.sol,,356,DynaMOSA,true,false,0.559322033898305,0,2,0,36,66,0.5454545454545454,20,29,0.6896551724137931,7,22,0.3181818181818182,15.384000062942505,1785.1749999523163,1800.5590000152588,137,1509,1,80
QuickToken.sol,,814,DynaMOSA,true,false,0.676923076923077,4,8,0.5,52,76,0.6842105263157895,16,23,0.6956521739130435,14,34,0.4117647058823529,9.2260000705719,1791.1029999256134,1800.3289999961853,147,1627,1,80
PRDZstakingV2.sol,,745,DynaMOSA,true,false,0.48863636363636365,5,26,0.19230769230769232,58,136,0.4264705882352941,27,39,0.6923076923076923,6,18,0.3333333333333333,16.83999991416931,1783.375,1800.2149999141693,108,1190,1,80
PACT.sol,,392,DynaMOSA,true,false,0.4827586206896552,0,0,0,30,72,0.4166666666666667,18,20,0.9,9,32,0.28125,10.748999834060669,1790.5069999694824,1801.255999803543,203,2241,1,80
NasiLiquidityPoolFactory.sol,,720,DynaMOSA,true,false,0.15073529411764705,1,50,0.02,52,320,0.1625,18,106,0.16981132075471697,13,88,0.14772727272727273,95.65199995040894,1712.0350000858307,1807.6870000362396,16,180,1,80
MoshiachCoinStaking.sol,,505,DynaMOSA,true,false,0.37333333333333335,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,6,22,0.2727272727272727,13.32200002670288,1787.516000032425,1800.8380000591278,151,1664,1,80
MetaCoin2.sol,,986,DynaMOSA,true,false,1,2,2,1,8,8,1,4,4,1,0,0,0,12.22000002861023,0,12.22000002861023,0,10,1,80
MarsStakingRewards.sol,,307,DynaMOSA,true,false,0.39473684210526316,4,12,0.3333333333333333,48,115,0.41739130434782606,29,49,0.5918367346938775,10,42,0.23809523809523808,26.2260000705719,1775.7210001945496,1801.9470002651215,67,746,1,80
MARVELCOIN.sol,,228,DynaMOSA,true,false,0.92,1,2,0.5,28,37,0.7567567567567568,8,8,1,10,14,0.7142857142857143,12.092999935150146,1788.202999830246,1800.2959997653961,184,2031,1,80
Liquidity_v8.sol,,46,DynaMOSA,true,false,0.37272727272727274,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,9,48,0.1875,15.663000345230103,1784.5289998054504,1800.1920001506805,85,944,1,80
Layerx.sol,,147,DynaMOSA,true,false,0.5471698113207547,2,18,0.1111111111111111,63,132,0.4772727272727273,24,26,0.9230769230769231,18,48,0.375,15.713000059127808,1784.893000125885,1800.6060001850128,100,1102,1,80
LIBERAPAY.sol,,377,DynaMOSA,true,false,0.6917808219178082,5,28,0.17857142857142858,82,141,0.5815602836879432,33,39,0.8461538461538461,26,50,0.52,19.188999891281128,1780.8570001125336,1800.0460000038147,95,1055,1,80
JGNRewards.sol,,468,DynaMOSA,true,false,0.7666666666666667,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,4,6,0.6666666666666666,15.940999984741211,1784.422000169754,1800.3630001544952,158,1746,1,80
HungryHoody.sol,,351,DynaMOSA,true,false,0.76,0,0,0,18,25,0.72,10,10,1,3,8,0.375,12.48199987411499,1788.5220000743866,1801.0039999485016,153,1689,1,80
GreenMarkTrust.sol,,943,DynaMOSA,true,false,0.92,1,2,0.5,28,37,0.7567567567567568,8,8,1,9,14,0.6428571428571429,14.152000188827515,1786.686999797821,1800.8389999866486,142,1566,1,80
GUMARewards.sol,,738,DynaMOSA,true,false,0.52,4,12,0.3333333333333333,51,91,0.5604395604395604,30,44,0.6818181818181818,9,30,0.3,19.256999969482422,1782.0220000743866,1801.279000043869,78,862,1,80
GAZ_ERC20.sol,,331,DynaMOSA,true,false,0.42857142857142855,2,2,1,14,26,0.5384615384615384,6,11,0.5454545454545454,5,22,0.22727272727272727,10.389999628067017,1789.962000131607,1800.351999759674,248,2728,1,80
FrogDAO.sol,,67,DynaMOSA,true,false,0.76,0,0,0,18,25,0.72,10,10,1,3,8,0.375,12.632999897003174,1788.0920000076294,1800.7249999046326,144,1585,1,80
Fomp.sol,,218,DynaMOSA,true,false,0.7301587301587301,9,24,0.375,65,92,0.7065217391304348,19,19,1,10,20,0.5,11.114000082015991,1789.24799990654,1800.361999988556,117,1293,1,80
FairStockEquity.sol,,819,DynaMOSA,true,false,0.6976744186046512,1,6,0.16666666666666666,55,120,0.4583333333333333,24,28,0.8571428571428571,19,48,0.3958333333333333,20.75499987602234,1780.7539999485016,1801.508999824524,87,964,1,80
EdenCoin.sol,,183,DynaMOSA,true,false,0.9166666666666666,2,2,1,27,33,0.8181818181818182,8,8,1,7,14,0.5,18.978000164031982,1781.8719999790192,1800.8500001430511,151,1667,1,80
Dynamic.sol,,493,DynaMOSA,true,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,8.809999942779541,1791.226000070572,1800.0360000133514,170,1876,1,80
Dipex.sol,,878,DynaMOSA,true,false,0.6666666666666666,9,22,0.4090909090909091,30,39,0.7692307692307693,8,8,1,7,12,0.5833333333333334,7.656999826431274,1793.3160002231598,1800.973000049591,216,2379,1,80
DSP.sol,,476,DynaMOSA,true,false,0.6941176470588235,5,18,0.2777777777777778,100,154,0.6493506493506493,52,64,0.8125,27,60,0.45,32.693000078201294,1769.2979998588562,1801.9909999370575,50,552,1,80
DJCoin.sol,,694,DynaMOSA,true,false,0.8,4,6,0.6666666666666666,70,91,0.7692307692307693,22,25,0.88,11,28,0.39285714285714285,11.145999908447266,1789.5820000171661,1800.7279999256134,157,1727,1,80
CryptoSecureBankToken.sol,,490,DynaMOSA,true,false,0.7777777777777778,14,26,0.5384615384615384,81,104,0.7788461538461539,31,33,0.9393939393939394,13,26,0.5,22.545000076293945,1777.5120000839233,1800.0570001602173,75,831,1,80
Cover_ZapIn_General_V1.sol,,966,DynaMOSA,true,false,0.34146341463414637,3,16,0.1875,37,129,0.2868217054263566,20,42,0.47619047619047616,9,44,0.20454545454545456,39.27999997138977,1761.15900015831,1800.4390001296997,37,412,1,80
CourtFarming_HTStake.sol,,52,DynaMOSA,true,false,0.7142857142857143,15,32,0.46875,75,109,0.6880733944954128,20,20,1,4,4,1,16.33999991416931,1785.2740001678467,1801.614000082016,155,1712,1,80
Controller.sol,,451,DynaMOSA,true,false,0.8524590163934426,0,8,0,38,70,0.5428571428571428,19,19,1,30,34,0.8823529411764706,16.77999997138977,1784.210000038147,1800.9900000095367,128,1413,1,80
BirdOracle.sol,,851,DynaMOSA,true,false,0.6829268292682927,16,30,0.5333333333333333,42,66,0.6363636363636364,8,9,0.8888888888888888,0,2,0,7.429999828338623,1794.3819999694824,1801.811999797821,204,2249,1,80
BancorV2_ZapIn_General_V1_1.sol,,986,DynaMOSA,true,false,0.29411764705882354,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,5,42,0.11904761904761904,43.49900007247925,1758.6840000152588,1802.183000087738,43,479,1,80
BAE.sol,,281,DynaMOSA,true,false,0.38,0,6,0,9,50,0.18,5,8,0.625,8,36,0.2222222222222222,28.263999938964844,1772.2430000305176,1800.5069999694824,64,710,1,80
AntiBaseProtocol.sol,,920,DynaMOSA,true,false,0.7439024390243902,3,8,0.375,84,98,0.8571428571428571,39,42,0.9285714285714286,15,26,0.5769230769230769,33.04299998283386,1767.5179998874664,1800.5609998703003,111,1221,1,80
ANRXToken.sol,,114,DynaMOSA,true,false,0.8717948717948718,6,12,0.5,35,44,0.7954545454545454,11,11,1,9,16,0.5625,7.691999912261963,1792.345999956131,1800.037999868393,144,1590,1,80
