SUBJECT,CONFIGURATION,BASELINE_RUN,STRATEGY_RUN,KILLED_MUTANTS,TOTAL_MUTANTS,MUTATION_SCORE
LIBERAPAY,DynaMOSA_false,15,15,4,10,0.4
DatrixoEquityToken,DynaMOSA_false,11,11,4,10,0.4
LUP,DynaMOSA_false,11,11,1,5,0.2
WolfStakingRewards,DynaMOSA_false,11,11,4,10,0.4
BancorV2_ZapIn_General_V1_1,DynaMOSA_false,15,15,3,10,0.3
BlueICE,DynaMOSA_false,11,11,4,10,0.4
ETFXPool,DynaMOSA_false,11,11,1,10,0.1
EdenCoin,DynaMOSA_false,15,15,2,7,0.2857142857142857
JGNRewards,DynaMOSA_false,15,15,1,3,0.3333333333333333
GFC,DynaMOSA_false,11,11,2,7,0.2857142857142857
GUMARewards,DynaMOSA_false,15,15,4,10,0.4
PACT,DynaMOSA_false,15,15,5,10,0.5
DSP,DynaMOSA_false,15,15,5,10,0.5
BACMARSLPTOKENPool,DynaMOSA_false,11,11,1,10,0.1
MARVELCOIN,DynaMOSA_false,15,15,2,7,0.2857142857142857
afiController,DynaMOSA_false,15,15,4,10,0.4
TPA,DynaMOSA_false,11,11,4,10,0.4
NAL,DynaMOSA_false,11,11,2,10,0.2
MIMOToken,DynaMOSA_false,11,11,1,6,0.16666666666666666
FreakCoin,DynaMOSA_false,11,11,1,5,0.2
HTDD_contract,DynaMOSA_false,11,11,1,8,0.125
CourtFarming_RoomLPStake,DynaMOSA_false,11,11,1,2,0.5
StakingDextoken,DynaMOSA_false,11,11,1,10,0.1
Final,DynaMOSA_false,11,11,4,10,0.4
MoshiachCoinStaking,DynaMOSA_false,15,15,3,10,0.3
FrogDAOGovernanceRewards,DynaMOSA_false,11,11,2,8,0.25
SSTRewards,DynaMOSA_false,11,11,1,3,0.3333333333333333
XenoFelix,DynaMOSA_false,15,15,10,10,1.0
YieldFarmLP2,DynaMOSA_false,15,15,0,4,0.0
Layerx,DynaMOSA_false,15,15,3,10,0.3
FrogDAO,DynaMOSA_false,15,15,1,2,0.5
Wallet,DynaMOSA_false,15,15,2,2,1.0
EqFinanceStaking,DynaMOSA_false,11,11,4,10,0.4
PRDZstakingV2,DynaMOSA_false,15,15,5,9,0.5555555555555556
LpStaking,DynaMOSA_false,11,11,3,10,0.3
Liquidity_v8,DynaMOSA_false,15,15,2,10,0.2
REXUNIFINANCE,DynaMOSA_false,11,11,2,10,0.2
CourtFarming_HTStake,DynaMOSA_false,15,15,1,2,0.5
UNIWHALE_ERC20,DynaMOSA_false,15,15,1,4,0.25
DJCoin,DynaMOSA_false,15,15,6,10,0.6
TimeMiner,DynaMOSA_false,15,15,6,9,0.6666666666666666
Token50X100,DynaMOSA_false,11,11,1,10,0.1
vnxManager,DynaMOSA_false,11,11,7,10,0.7
Ledgis,DynaMOSA_false,11,11,3,10,0.3
CryptoSecureBankToken,DynaMOSA_false,15,15,3,10,0.3
GreenMarkTrust,DynaMOSA_false,15,15,2,7,0.2857142857142857
RIT,DynaMOSA_false,15,15,4,10,0.4
Weedburn,DynaMOSA_false,11,11,3,10,0.3
UFragments,DynaMOSA_false,11,11,3,10,0.3
INS,DynaMOSA_false,11,11,1,7,0.14285714285714285
WOLF,DynaMOSA_false,11,11,4,6,0.6666666666666666
OnXFinance,DynaMOSA_false,11,11,1,10,0.1
Controller,DynaMOSA_false,15,15,1,10,0.1
KPLAY,DynaMOSA_false,11,11,2,10,0.2
MarsStakingRewards,DynaMOSA_false,15,15,5,10,0.5
Vat,DynaMOSA_false,11,11,3,10,0.3
RainbowRAK,DynaMOSA_false,11,11,2,10,0.2
TokenDispatch,DynaMOSA_false,15,15,3,10,0.3
DMONDETHRewards,DynaMOSA_false,11,11,3,10,0.3
ZAD,DynaMOSA_false,11,11,2,10,0.2
DmmControllerV2,DynaMOSA_false,11,11,3,10,0.3
BirdOracle,DynaMOSA_false,15,15,1,1,1.0
SALESCONTRACT,DynaMOSA_false,15,15,2,10,0.2
Cryptoz,DynaMOSA_false,11,11,3,10,0.3
POWToken,DynaMOSA_false,11,11,0,10,0.0
GAZ_ERC20,DynaMOSA_false,15,15,1,10,0.1
Revive,DynaMOSA_false,11,11,4,10,0.4
MisesLegacyPool,DynaMOSA_false,11,11,1,3,0.3333333333333333
Fomp,DynaMOSA_false,15,15,5,10,0.5
Voting,DynaMOSA_false,15,15,10,10,1.0
TetherToken,DynaMOSA_false,15,15,3,10,0.3
FairStockEquity,DynaMOSA_false,15,15,2,10,0.2
AavePoolReward,DynaMOSA_false,11,11,1,3,0.3333333333333333
NasiLiquidityPoolFactory,DynaMOSA_false,15,15,2,10,0.2
PlasmaswapPair,DynaMOSA_false,11,11,1,10,0.1
BAE,DynaMOSA_false,15,15,0,10,0.0
SpiritCoin,DynaMOSA_false,15,15,4,10,0.4
SLTDETHlpReward,DynaMOSA_false,11,11,2,10,0.2
WheaFarm,DynaMOSA_false,15,15,2,10,0.2
HungryHoody,DynaMOSA_false,15,15,1,2,0.5
QuickToken,DynaMOSA_false,15,15,5,10,0.5
SLTDStaking,DynaMOSA_false,15,15,3,10,0.3
ANRXToken,DynaMOSA_false,15,15,1,8,0.125
Rexona,DynaMOSA_false,15,15,4,6,0.6666666666666666
Cover_ZapIn_General_V1,DynaMOSA_false,15,15,5,10,0.5
YRX3,DynaMOSA_false,11,11,7,10,0.7
Reentrance,DynaMOSA_false,15,15,0,5,0.0
Dipex,DynaMOSA_false,15,15,3,6,0.5
GardenContractV2,DynaMOSA_false,19,19,1,10,0.1
ThriftToken,DynaMOSA_false,11,11,1,10,0.1
BTCParamV2,DynaMOSA_false,11,11,2,7,0.2857142857142857
